Name            x1	x2	x3	x4	x5	x6
Carlos Bacca    74	79	65	79	33	71
Gerard Moreno   79	81	66	78	45	69
Willian Jose    64	83	66	77	40	80
Aritz Aduriz    67  82	64	75	50	81
Rodrigo Moreno  90  81	73	82	44	71
Karim Benzema   76	79	76	81	32	75
Diego Costa     75	83	64	76	49	87
Antoine Griezma 86	86	81	88	50	70
Luis Suarez     80	90	79	87	52	85
Lionel Messi    88	91	88	96	32	61
Markel Susaeta  75	71	84	83	41	63
Nolito          72	78	76	81	45	67
Ousmane Dembele 89	75	76	87	36	55
Gonzalo Guedes  88	79	76	82	36	68
Malcom          84	79	81	85	27	64
Lucas Vazquez   81	75	82	82	46	67
Iago Aspas      81	86	77	86	35	65
Marco Asensio   81	84	83	85	43	60
Gareth Bale     95	88	84	85	58	76
Coutinho        81	81	86	91	45	64
Jamie Vardy     90	81	63	77	54	77
Olivier Giroud  47	82	71	74	42	79
Gabriel Jesus   86	80	72	86	39	73
Alvaro Morata   82	79	71	79	31	71
Alexandre Lacaz 81	82	72	84	40	72
Roberto Firmino 77	83	80	86	61	78
Aubameyang      94	84	75	80	37	70
Romelu Lukaku   84	84	76	75	35	87
Sergio Aguero   84	89	76	89	28	73
Harry Kane      70	90	79	81	47	83
Anthony Martial 89	81	73	86	42	72
Silva Bernardo  78	72	83	89	46	58
Willian         88	77	80	86	49	62
Riyad Mahre     85	79	81	90	37	59
Raheem Sterling 93	73	76	87	47	56
Leroy Sane      95	81	78	86	38	70
Sadio Mane      94	80	76	87	42	73
Sanchez Alexis  82	83	79	89	45	77
Mohammed Salah  92	84	79	89	45	72
Eden Hazard     91	82	86	94	35	67
