Name		    x1	x2	x3	x4	x5	x6
Карлос Бакка	74	79	65	79	33	71
Жерар Морено	79	81	66	78	45	69
Виллиан Жозе	64	83	66	77	40	80
Адурис		    67	82	64	75	50	81
Родриго		    90	81	73	82	44	71
Карим Бензема	76	79	76	81	32	75
Диего Коста	    75	83	64	76	49	87
Антуан Гризманн	86	86	81	88	50	70
Луис Суарес	    80	90	79	87	52	85
Лионель Месси	88	91	88	96	32	61
Сусаэта		    75	71	84	83	41	63
Нолито		    72	78	76	81	45	67
Усман Дембеле	89	75	76	87	36	55
Гонсалу Гедеш	88	79	76	82	36	68
Малкон		    84	79	81	85	27	64
Лукас Васкес	81	75	82	82	46	67
Яго Аспас	    81	86	77	86	35	65
Марко Асенсио	81	84	83	85	43	60
Гарет Бейл	    95	88	84	85	58	76
Коутиньо	    81	81	86	91	45	64
Джейми Варди	90	81	63	77	54	77
Оливье Жиру	    47	82	71	74	42	79
Габриэл Жезус	86	80	72	86	39	73
Альваро Мората	82	79	71	79	31	71
Александр Ляказ 81	82	72	84	40	72
Роберто Фирмино	77	83	80	86	61	78
Пьер-Эмерик Оба 94	84	75	80	37	70
Ромелу Лукаку	84	84	76	75	35	87
Серхио Агуэро	84	89	76	89	28	73
Гарри Кейн	    70	90	79	81	47	83
Антони Марсьяль	89	81	73	86	42	72
Бернарду Силва	78	72	83	89	46	58
Виллиан		    88	77	80	86	49	62
Рияд Марез	    85	79	81	90	37	59
Рахим Стерлинг 	93	73	76	87	47	56
Лерой Сане	    95	81	78	86	38	70
Садио Мане	    94	80	76	87	42	73
Алексис Санчес	82	83	79	89	45	77
Мохаммед Салах	92	84	79	89	45	72
Эден Азар	    91	82	86	94	35	67
